Take 42📚|📚https://anchor.fm/s/1292e20/podcast/rss
Talking History (M4A-Feed)📚|📚https://www.talkinghistory.de/feed/m4a/
Talking History📚|📚https://www.talkinghistory.de/feed/mp3/
Tango: Around the world in 80 Tangos📚|📚https://www.tangomundo.de/rss_podcast_de.xml
Tatort Geschichte - True Crime meets History📚|📚https://feeds.br.de/tatort-geschichte-true-crime-meets-history/feed.xml
Tatort Niedersachsen - der Crime-Podcast der Braunschweiger Zeitung📚|📚https://cdn.julephosting.de/podcasts/248-tatort-niedersachsen-der-crime-podcast-der-braunschweiger-zeitung/feed.rss
Taverne zum Vollmond📚|📚https://taverne-zum-vollmond.ch/feed/podcast
Tavo📚|📚https://anchor.fm/s/2cf35238/podcast/rss
Taxi Teller📚|📚https://taxitellerpodcast.podigee.io/feed/mp3
Teatime Germany - Der Insider für DJ's und Musikproduzenten📚|📚https://teatimegermany.podigee.io/feed/mp3
Teearoma📚|📚https://anchor.fm/s/f88a3ec/podcast/rss
Tell me a history - Erzähl mir eine Geschichte📚|📚https://tellmeahistory.net/?feed=mp3
Tell Your Story📚|📚https://anchor.fm/s/f74db14/podcast/rss
Terminator Brad Fiedel📚|📚https://anchor.fm/s/fe123c8/podcast/rss
Test Modus📚|📚https://anchor.fm/s/2f9126c8/podcast/rss
THE BLOG OF ROCK  - Das Hardrock & Heavy Metal Podcast MusikMagazin📚|📚https://feeds.acast.com/public/shows/5e7e1575bf0d823b35216b5c
ThemaTakt - HipHop- & Musikbusiness-Podcast📚|📚https://thematakt.podigee.io/feed/mp3
THF Talks📚|📚http://rss.castbox.fm/everest/78f92e8a85de4da1962d673a7a431ed2.xml
Thomas Foster Musikproduktion Podcast📚|📚https://1bqta1a.podcaster.de/ThomasFosterMusikproduktionPodcast.rss
TiefenSchärfe📚|📚https://tiefenschaerfe.podigee.io/feed/mp3
TolkCast - Der Tolkien Podcast📚|📚https://www.tolkcast.de/feed/mp3
Tolkien in 5 Minuten📚|📚https://letscast.fm/podcasts/tolkien-in-5-minuten-61bceb48/feed
Track17 - Der Musikpodcast📚|📚https://track17.podigee.io/feed/mp3
True Crime Austria📚|📚https://cdn.julephosting.de/podcasts/462-true-crime-austria/feed.rss
True Crime Germany📚|📚https://cdn.julephosting.de/podcasts/431-true-crime-germany/feed.rss
True Crime Podcast📚|📚https://1lzg0dn.podcaster.de/true-crime-podcast-ufo-serial.rss
Trüffelschweine📚|📚https://www.srf.ch/feed/podcast/sd/b7e53126-2d87-495d-95b3-88085f84c35a.xml
Tschun by Elisabeth von Heyking📚|📚http://www.loyalbooks.com/book/tschun-by-elisabeth-von-heyking/feed
TUGRA Podcast📚|📚https://tugra.podspot.de/rss+all
Turicana📚|📚https://feeds.buzzsprout.com/243592.rss
Turntable (Reloaded)📚|📚https://hgzqgp.podcaster.de/turntable.rss
