RaceTalk📚|📚https://racetalk.podigee.io/feed/mp3
Radcliffehangers Podcast📚|📚https://anschauenpod.podigee.io/feed/mp3
Radio Bielefeld Arminia-Podcast📚|📚https://arminiapodcast.podigee.io/feed/mp3
Radio Bochum - Sonntagsfrühstück📚|📚https://anchor.fm/s/3ac49034/podcast/rss
Radio Eho📚|📚https://feeds.buzzsprout.com/1023910.rss
Radio JAN📚|📚https://www.spreaker.com/show/2623597/episodes/feed
Radio Nukular📚|📚https://www.radionukular.de/?feed=nukularfeed
Radio Ravnica📚|📚https://radio-ravnica.podigee.io/feed/mp3
Radio Recap: Anime📚|📚https://anchor.fm/s/2a9b5eb8/podcast/rss
Radio Schneeberg📚|📚https://kvczm8.podcaster.de/radio-schneeberg.rss
Radio Superlevel📚|📚https://feeds.soundcloud.com/users/soundcloud:users:11908429/sounds.rss
Radio Wien Pflanzentipp📚|📚https://podcast.orf.at/podcast/wie/wie_pflanzentipp/wie_pflanzentipp.xml
RadioPoeten – Der Poetry-Slam-Podcast📚|📚https://feedpress.me/detektorfm_radiopoeten
RadioSunnydale📚|📚https://www.spreaker.com/show/3438399/episodes/feed
Rado_'s Podcast📚|📚https://anchor.fm/s/1f1ab840/podcast/rss
Ragequit - Gaming Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:185748277/sounds.rss
Ragequit📚|📚https://anchor.fm/s/d647fb4/podcast/rss
Ragnarök - Das Hörspiel - 1 bis 6📚|📚https://feeds.soundcloud.com/users/soundcloud:users:236483315/sounds.rss
Rainbow 6 Podcast (deutsch)📚|📚https://feeds.soundcloud.com/users/soundcloud:users:329273303/sounds.rss
Random Loot Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:202783637/sounds.rss
Random Nerd Gelabber - RNG📚|📚https://rss.castbox.fm/everest/9ed657d11d9f4b6f98acb2a9d8faffd9.xml
random_talk_podcast📚|📚https://rss.castbox.fm/everest/0bd8f90749f44a34a45a3d9e001e59c1.xml
Randomshouts der Podcast📚|📚https://anchor.fm/s/103757d90/podcast/rss
RandomTALK📚|📚https://anchor.fm/s/157b56dc/podcast/rss
Raphaels Talkrunde📚|📚https://anchor.fm/s/23696ec8/podcast/rss
Raphi's Eishockeystunde📚|📚https://anchor.fm/s/1c51b6f4/podcast/rss
Rated Keycast📚|📚https://keycast.podomatic.com/rss2.xml
Raum für Schönes📚|📚https://anchor.fm/s/1e5ceb30/podcast/rss
Rausgehört📚|📚https://globetrotter.podigee.io/feed/mp3
Rauszeit - Der Urlaubs-Podcast📚|📚https://rauszeit.podigee.io/feed/mp3
Reaktioncast📚|📚https://anchor.fm/s/56537f18/podcast/rss
Realtalk & Lifestyle📚|📚https://anchor.fm/s/38a040a0/podcast/rss
Realtalk mit Riccardo📚|📚https://anchor.fm/s/2fd021d4/podcast/rss
