5MinutenClimateChance📚|📚https://www.5mcc.at/feed/mp3/
M.Sc. Forstwissenschaften / Forest Sciences📚|📚https://www.podcasts.uni-freiburg.de/informationen-zum-studium/student_speak/fem/rss/video/
M1 CompuMEDIAL - Anwenderorientierte Video Screencasts zu dem Arztinformationssystem M1 von CompuMED📚|📚https://m1compumedial.podspot.de/rss
magia naturalis (audio feed)📚|📚https://magia-naturalis.com/feed/mp3
magia naturalis (video feed)📚|📚https://magia-naturalis.com/feed/mp4
Making a Physicist📚|📚https://map.podigee.io/feed/aac
Makro Mikro📚|📚https://feeds.soundcloud.com/users/soundcloud:users:494413191/sounds.rss
Mal nach den Rechten schauen📚|📚https://wdbx21.podcaster.de/malnachdenrechtenschauen.rss
Mandelbrot Talks📚|📚http://mandelbrot-talks.de/feed/mp3/
Markus Dark World📚|📚https://anchor.fm/s/10fe4074/podcast/rss
MARSOPHEN📚|📚https://marsophen.podigee.io/feed/mp3
Marsorama📚|📚https://marsorama.libsyn.com/rss
Master Disaster📚|📚https://o1ndhm.podcaster.de/masterdisaster.rss
ME, MYSELF, MY MUSIC Part 2📚|📚https://podcast290b2a.podigee.io/feed/mp3
MeCum Modul 3 - WiSe 2008/2009📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/Medizin/MeCumModul3WS0809/audio/audiorss.rss
MeCum Modul 3 - WiSe 2008/2009📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/Medizin/MeCumModul3WS0809/hd/hdrss.rss
Med-Tech Smoothie📚|📚https://mtsmoothie.podigee.io/feed/mp3
med.dent.tv📚|📚http://www.med-dent-minds.de/mdmtv.xml
Medbuzz - Der medizinische Wissens-Podcast📚|📚https://medbuzz.de/feed/podcast/
medconnect.at Podcast📚|📚https://feeds.buzzsprout.com/1686277.rss
Medical Device Insights📚|📚https://johner-institut.podigee.io/feed/mp3
Medical Tribune Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:497976816/sounds.rss
Medienmonolog📚|📚https://anchor.fm/s/1a404a24/podcast/rss
medipod📚|📚https://feeds.captivate.fm/medipod/
MediTalk - Medizin für dich erklärt mit Frau Dr. Steidl📚|📚https://meditalk.podigee.io/feed/mp3
medonline Podcast📚|📚https://feeds.soundcloud.com/users/soundcloud:users:400308900/sounds.rss
Meet the CXO - Bereden, was verbindet📚|📚https://meet-the-cxo-bereden-was-verbindet-podcast.podigee.io/feed/mp3
Meeting Point BW_i📚|📚https://podcasta3dc0c.podigee.io/feed/mp3
mehrPODCAST📚|📚https://hohlfs.podcaster.de/zukunft-zum-zuhoeren.rss
Mehrwert Hypnose📚|📚https://mehrwert-hypnose.podigee.io/feed/mp3
Mein Leben📚|📚https://anchor.fm/s/1db93c74/podcast/rss
Mein neues Leben 2.0 - Adipositas und Magenoperation📚|📚https://www.magenpodcast.de/feed/mp3/
MeinAllergiePortal Podcast📚|📚https://www.mein-allergie-portal.com/meinallergieportal-podcast
Meine Challenge📚|📚https://www.mdr.de/wissen/podcast/challenge/meine-challenge-mdr-wissen-100-podcast.xml
Meine Mucke Heute📚|📚https://www.spreaker.com/show/3153033/episodes/feed
Mekka und Jerusalem📚|📚https://p3sejj.podcaster.de/MekkaundJerusalem.rss
MeltingPod - Migration im Dialog📚|📚https://meltingpod.podigee.io/feed/mp3
memleket - stimmen der neuen schweiz📚|📚https://podcast5c6fb9.podigee.io/feed/mp3
Mensch-Maschine-Interaktion 2 - SoSe 2007 - Audio mit Folien📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2SS07/audiofolien/audiofolien.rss
Mensch-Maschine-Interaktion 2 - SoSe 2007📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2SS07/audio/audiorss.rss
Mensch-Maschine-Interaktion 2 - WiSe 2009/2010📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2WS0910/audio.de/0910WS_MMI2_A.rss
Mensch-Maschine-Interaktion 2 - WiSe 2009/2010📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2WS0910/hd.de/0910WS_MMI2_HD.rss
Mensch-Maschine-Interaktion 2 - WiSe 2009/2010📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2WS0910/video.de/0910WS_MMI2_V.rss
Mensch-Maschine-Interaktion 2 - WiSe 2010 / 2011📚|📚http://xserve04.itunes.uni-muenchen.de/itunesu/Studium/MathematikInformatikStatistik/MenschMaschine2WS1011/audio.de/MMI2_WS1011_audio.rss
Methodisch inkorrekt!📚|📚https://minkorrekt.podigee.io/feed/aac
Mezzanin - Einblicke in Forschung, Innovation und Praxis📚|📚https://sdyip5.podcaster.de/mezzanin-der-podcast.rss
Mia san Tier - Der Zoo-Podcast aus Hellabrunn📚|📚https://zoo-podcast.podigee.io/feed/mp3
Mighty Micro📚|📚https://mightymicro.podigee.io/feed/mp3
MIKA - der Podcast der Diakonie in Bayern📚|📚https://mika.podigee.io/feed/mp3
Mikroökonomen a.k.a. Mikrooekonomen📚|📚https://mikrooekonomen.podigee.io/feed/mp3
Mikrowellenkaffee📚|📚https://feeds.buzzsprout.com/1272692.rss
Milchgeschichten📚|📚https://wv5izk.podcaster.de/milchgeschichten.rss
Mildly Interesting📚|📚https://anchor.fm/s/310fee94/podcast/rss
mimeju - nachhaltig shoppen📚|📚https://anchor.fm/s/3615d084/podcast/rss
mimina sustainable📚|📚https://anchor.fm/s/4f29a898/podcast/rss
