Balados-Église M📚|📚https://nmendoza.podomatic.com/rss2.xml
Bandial Bible (dramatisé) - Bandial Bible (dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BQJATBN2DA.xml
Bariba Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BBABSBN2DA.xml
Bases doctrinales de la vie mystique - par le Père Marie Dominique Molinié op📚|📚http://www.medvan.it/mp3/mol_72retdorat/72retdorat.xml
Beembe Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BEQABCN2DA.xml
Beembe Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BEQABCN1DA.xml
BibleAccessible📚|📚https://feed.ausha.co/b2XLKS5d7z6w
Birifor, Northern Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BFOBSBN2DA.xml
BNCteam📚|📚https://anchor.fm/s/17b7e9c4/podcast/rss
Bobo Madare Nord Bible (dramatisée) - Bobo Madare Northern Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BBOBSBN2DA.xml
Bobo Madare Nord Bible (non-dramatisé)  - Bobo Madare Northern Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BBOBSBN1DA.xml
Bon Matin Avec Jésus📚|📚https://anchor.fm/s/1e6f90a0/podcast/rss
Bonjour chez vous ! EMCI TV📚|📚https://emcitv.com/page/podcast.php?e=221
BONNE NOUV.ELLE📚|📚https://anchor.fm/s/defde9c/podcast/rss
Bonnes nouvelles📚|📚https://anchor.fm/s/233abb50/podcast/rss
Boo (Boko) Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BQCSIMN2DA.xml
Boomu Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BMQBSMN2DA.xml
Buamu Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BOXWYIN2DA.xml
Bum Bible (dramatisée) - Bum Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BMVCABN2DA.xml
Bum Bible (Non dramatisée) - Bum Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BMVCABN1DA.xml
