Dans les marges du journalisme📚|📚https://anchor.fm/s/f2497d0/podcast/rss
Défi svt📚|📚https://anchor.fm/s/169a16ac/podcast/rss
DEKORTIK📚|📚https://www.spreaker.com/show/4632054/episodes/feed
Derniers médias dans la chaîne : Séminaire sur ""Le Canon"" littéraire📚|📚https://mediaserveur.u-bourgogne.fr/channels/c12583e62ead9a2og8ln/itunes-audio.xml
Descobrindo A França📚|📚https://anchor.fm/s/2d7d9010/podcast/rss
Destination : anglais !📚|📚https://www.spreaker.com/show/4550379/episodes/feed
Développement durable – Environnement, énergie et société (2013-2014) - Gilles Boeuf📚|📚https://podcast.college-de-france.fr/xml2/cdf11-68.xml
Développement durable – Environnement, énergie et société (2014-2015) - Georges Calas📚|📚https://podcast.college-de-france.fr/xml2/cdf11-88.xml
Devoir📚|📚https://anchor.fm/s/25e3603c/podcast/rss
Dictée 1📚|📚https://anchor.fm/s/f035ebc/podcast/rss
Discours direct et indirect📚|📚https://anchor.fm/s/288e47ac/podcast/rss
DPG📚|📚https://anchor.fm/s/314487d0/podcast/rss
Dr.Karim📚|📚https://anchor.fm/s/30c05ab4/podcast/rss
