7 Minutes Sunday📚|📚https://feeds.redcircle.com/52dc91e8-353b-453b-aac8-4daaecda0882
A Visitor on Earth📚|📚https://anchor.fm/s/2dc91be8/podcast/rss
ABRAHAM MINISTRY - Kabar Baik📚|📚https://anchor.fm/s/31459a08/podcast/rss
Admin koesoeka📚|📚https://rss.castbox.fm/everest/b09762018c4d4e24872397af85f1599f.xml
Alex Nanlohy's Podcast📚|📚https://anchor.fm/s/a323480/podcast/rss
Alfred Monim📚|📚https://anchor.fm/s/22fad580/podcast/rss
Alkitab-indonesia📚|📚https://anchor.fm/s/34178750/podcast/rss
Alune Alkitab (didramatisasi) - Alune Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/ALPWBTN2DA.xml
Alune Alkitab (Non-didramatisasi) - Alune Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/ALPWBTN1DA.xml
Anastasia Lianny📚|📚https://anchor.fm/s/34adc56c/podcast/rss
Annatjan📚|📚https://anchor.fm/s/23e1648c/podcast/rss
Aralle-Tabulahan Alkitab (didramatisasi) - Aralle-Tabulahan Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/ATQLAIN2DA.xml
Aralle-Tabulahan Alkitab (non-didramatisasi) - Aralle-Tabulahan Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/ATQLAIN1DA.xml
Ardi Wong📚|📚https://anchor.fm/s/24d32fc4/podcast/rss
AWK Ministries Podcast📚|📚https://anchor.fm/s/148f9c60/podcast/rss
AWR - Renungan Harian📚|📚https://podcasts.awr.org/xml/xmliTunes/INDJAaDVO.xml
AWR - Suara Pengharapa📚|📚https://podcasts.awr.org/xml/xmliTunes/INDJA_VOH.xml
AWR -Pelajaran Sekolah Sabat📚|📚https://podcasts.awr.org/xml/xmliTunes/INDJAaSSL.xml
AWR Indonesian - Bahasa Indonesia📚|📚http://feeds.feedburner.com/INDJA_VOH
AWR Indonesian - Daily Devotional📚|📚http://feeds.feedburner.com/INDJA_DVO
AWR Indonesian - Sabbath School Lesson📚|📚http://feeds.feedburner.com/INDJA_SSL
Back to the Bible📚|📚https://anchor.fm/s/13aa47c8/podcast/rss
Bahasa Indonesia Alkitab (didramatisasi) Terjemahan Sederhana Indonesia (Plain Indonesian Translation) – Indonesian Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/INZTSIN2DA.xml
Bahasa Indonesia Alkitab (Non-didramatisasi) Terjemahan Sederhana Indonesia (Plain Indonesian Translation) – Indonesian Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/INZTSIN1DA.xml
Bahasa Lik (Non-Dramatized) Lik Allah Yupu📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/EIPWBTN1DA.xml
Bahasa Taa Alkitab  - Bahasa Taa Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PMFNTMN2DA.xml
Balantak Alkitab - Balantak  Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BLZLAIN2DA.xml
Bambam Alkitab - Bambam Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PTULAIN2DA.xml
Batak Simalungun Alkitab - Batak Simalungun Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/BTSLAIN2DA.xml
Belajar.Hidup📚|📚https://anchor.fm/s/365f0010/podcast/rss
Beritakan Kebenaran📚|📚https://anchor.fm/s/1cfb126c/podcast/rss
Berkat 3 Generasi📚|📚https://media.fajarpengharapan.com/audio/audio4itunes.xml
BESORAT NOISE📚|📚https://anchor.fm/s/225c9a14/podcast/rss
Bethesda Bunta Podcast📚|📚https://anchor.fm/s/2fcc35ec/podcast/rss
Bible Teaching📚|📚https://truth.id/voice/category/bible-teaching/feed/
Bible Telling📚|📚https://anchor.fm/s/25b8d7f4/podcast/rss
Bicara Hikmat📚|📚https://anchor.fm/s/12abdcec/podcast/rss
Blessed Podcast📚|📚https://anchor.fm/s/374e27e4/podcast/rss
Bukan Podcast Gereja📚|📚https://anchor.fm/s/21c560cc/podcast/rss
Catatannya Glory📚|📚https://anchor.fm/s/15026330/podcast/rss
Chord Alkitab📚|📚https://anchor.fm/s/24cd2354/podcast/rss
Christ Daniel📚|📚https://anchor.fm/s/26cdebfc/podcast/rss
City Light Tik-Talk📚|📚https://anchor.fm/s/21bc1ee0/podcast/rss
Connect Group C150📚|📚https://anchor.fm/s/2b9cd8c8/podcast/rss
Crystianaji📚|📚https://anchor.fm/s/25639884/podcast/rss
Cyntia Clara Arini Putri📚|📚https://rss.castbox.fm/everest/f59ac8aa4a7f4775943e525bea7e9f85.xml
Daniel J California📚|📚https://anchor.fm/s/dd65cec/podcast/rss
Dayak Ma'anyan Alkitab (Non didramatisasi) - Dayak Ma'anyan Bible (Non Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MHYLAIN1DA.xml
Dayak Ma'anyan Bible (didramatisasi) - Dayak Ma'anyan Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MHYLAIN2DA.xml
Deb_Audio📚|📚https://anchor.fm/s/338647b8/podcast/rss
Dengar Dan Pejamkan Mata📚|📚https://anchor.fm/s/209f85d8/podcast/rss
Dposo📚|📚https://anchor.fm/s/341f2d84/podcast/rss
Duri Alkitab - Duri Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MVPLAIN2DA.xml
ECHO Podcast📚|📚https://anchor.fm/s/388a8df0/podcast/rss
EPOD📚|📚https://anchor.fm/s/2fd03d2c/podcast/rss
Erwinmsf📚|📚https://anchor.fm/s/19f04ccc/podcast/rss
Galela Alkitab - Galela Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/GBILAIN2DA.xml
GBI Blessing Yogyakarta📚|📚https://anchor.fm/s/26ff64d4/podcast/rss
Gereja Guiding Light📚|📚https://guidinglightevangelism.podomatic.com/rss2.xml
GIA Genuk Indah📚|📚https://anchor.fm/s/25556a70/podcast/rss
GKJ Jakarta📚|📚http://rss.castbox.fm/everest/03aebc7d89a34ea49944212e1b246cdf.xml
GKKD Bandung Pusat📚|📚https://rss.castbox.fm/everest/ced704d4910c4f3c8e906ad2b21b9b96.xml
GKT Bethany Podcast📚|📚https://anchor.fm/s/339d8cc0/podcast/rss
GKY Greenville Podcast📚|📚https://gkygreenville.org/podcast.rss
GMIST Depok📚|📚https://anchor.fm/s/2353ad40/podcast/rss
God in the Pod📚|📚https://anchor.fm/s/2091ee28/podcast/rss
God’s DNA Jb📚|📚https://anchor.fm/s/28f94138/podcast/rss
Gorontalo Alkitab - Gorontalo Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/GORLAIN2DA.xml
GuaJugaGitu📚|📚https://anchor.fm/s/20aee6f4/podcast/rss
GWMA📚|📚https://anchor.fm/s/208e86ac/podcast/rss
Hadyan Menyapa & Bercanda📚|📚https://anchor.fm/s/2cff6c44/podcast/rss
Harold Nainggolan📚|📚https://anchor.fm/s/1bf936b4/podcast/rss
Hello, I'm Here📚|📚https://anchor.fm/s/1db81394/podcast/rss
Hendi Gunawan📚|📚https://anchor.fm/s/21f51740/podcast/rss
History Maker📚|📚https://anchor.fm/s/2282b848/podcast/rss
HistoryMaker Impact📚|📚https://rss.castbox.fm/everest/defd69fa2ab54041ac4d537c40f870a7.xml
HITS Network📚|📚https://anchor.fm/s/1faf4848/podcast/rss
HKBP Singapore📚|📚https://anchor.fm/s/18c513a0/podcast/rss
House of Prayer - HOPE📚|📚https://anchor.fm/s/316ef4c0/podcast/rss
Hukum Islam📚|📚https://rss.castbox.fm/everest/60c4a3f81ff84b8f9c409a2ce7eeb9bb.xml
