Ávarpið📚|📚https://vg.is/feed/podcast/
Bandaríkin hlaðvarp📚|📚https://www.visir.is/rss/podcast/270
Guðmundur Hörður📚|📚https://anchor.fm/s/1ffdc66c/podcast/rss
Hægri hliðin📚|📚https://anchor.fm/s/1d313504/podcast/rss
Heimildin - Hlaðvörp📚|📚https://heimildin.is/thaettir/feed/
Heimsglugginn📚|📚https://www.ruv.is/rss/hladvarp/heimsglugginn
Heimskviður📚|📚https://www.ruv.is/rss/hladvarp/heimskvidur
Hlaðvarp Samfylkingarinnar📚|📚https://anchor.fm/s/270aa290/podcast/rss
Hús & Hillbilly📚|📚https://stundin.is/thaettir/hus-hillbilly/feed/
Íhaldsstefna á Íslandi📚|📚https://anchor.fm/s/1079aaa8/podcast/rss
Kveikur📚|📚https://www.ruv.is/rss/hladvarp/kveikur
Morgunútvarpið📚|📚http://feeds.feedburner.com/morgunutvarpid
Morgunútvarpið📚|📚https://www.spreaker.com/show/4719097/episodes/feed
Morgunvaktin📚|📚http://feeds.feedburner.com/morgunvaktin
Óli Björn - Alltaf til hægri📚|📚https://feed.podbean.com/olibjorn/feed.xml
Rauða borðið📚|📚https://feeds.simplecast.com/ob4IGqEK
Samtal📚|📚http://feeds.feedburner.com/samtalid
Síðdegisútvarpið📚|📚https://feeds.feedburner.com/siddegisutvarpid
Sögur af landi📚|📚http://feeds.feedburner.com/sogur-af-landi
Spegillinn📚|📚http://feeds.feedburner.com/spegillinn
Útvarp📚|📚http://feeds2.feedburner.com/dindillpodcast
Vikulokin📚|📚http://feeds.feedburner.com/vikulokin
