Aeneidis Libri XII by Virgil (70 BCE - 19 BCE)📚|📚https://librivox.org/rss/7041
Bible (Biblia Sacra Vulgata) 19: Psalmi XXII by Biblia Sacra Vulgata📚|📚https://librivox.org/rss/153
Biblia Sacra Vulgata: Psalmi XXII by Biblia Sacra Vulgata📚|📚http://www.loyalbooks.com/book/Biblia-BSV-Sacra-Vulgata-Psalmi-22/feed
Civitate Dei Libri XXII, De by Saint Augustine of Hippo (354 - 430)📚|📚https://librivox.org/rss/11614
Confessionum Libri Tredecim by Saint Augustine of Hippo (354 - 430)📚|📚https://librivox.org/rss/7528
Confessionum Libri Tredecim by Saint Augustine of Hippo📚|📚http://www.loyalbooks.com/book/Confessiones-by-Bishop-of-Hippo-Saint-Augustine/feed
De Agricultura by Marcus Porcius Cato (236 BCE - 149 BCE)📚|📚https://librivox.org/rss/7521
De Agricultura by Marcus Porcius Cato📚|📚http://www.loyalbooks.com/book/de-agricultura-by-marcus-porcius-cato/feed
De Bello Gallico Libri Septem by Gaius Julius Caesar (100 - 44 BCE)📚|📚https://librivox.org/rss/4718
De Bello Gallico Libri Septem by Gaius Julius Caesar📚|📚http://www.loyalbooks.com/book/De-Bello-Gallico-Libri-Septem/feed
De Rerum Natura by Titus Lucretius Carus (c. 99 BCE - 55 BCE)📚|📚https://librivox.org/rss/7053
De Rerum Natura by Titus Lucretius Carus📚|📚http://www.loyalbooks.com/book/de-rerum-natura-by-titus-lucretius-carus/feed
Eclogae (dramatic reading) by Virgil (70 BCE - 19 BCE)📚|📚https://librivox.org/rss/135
Eclogae by Publius Vergilius Maro📚|📚http://www.loyalbooks.com/book/eclogae-by-publius-vergilius-maro/feed
Epistulae Morales Selectae by Lucius Annaeus Seneca (4 BCE - 65)📚|📚https://librivox.org/rss/7230
Epistulae Morales Selectae by Lucius Annaeus Seneca📚|📚http://www.loyalbooks.com/book/epistulae-morales-selectae-by-lucius-annaeus-seneca/feed
Georgica by  Virgil📚|📚http://www.loyalbooks.com/book/georgica-by-publius-vergilius-maro/feed
Historia Apollonii Regis Tyri by anonymous📚|📚http://www.loyalbooks.com/book/historia-apollonii-regis-tyri-by-anonymous/feed
Imitatione Christi by Thomas à Kempis📚|📚http://www.loyalbooks.com/book/de-imitatione-christi-by-thomas-a-kempis/feed
Mujer de Proposito📚|📚https://rss.castbox.fm/everest/6d43f0c81eba447eae0cb437a92b335a.xml
Regula Sancti Benedicti by Saint Benedict of Nursia📚|📚http://www.loyalbooks.com/book/regula-sancti-benedicti-by-saint-benedict-of-nursia/feed
Sociedad y cultura📚|📚https://www.spreaker.com/show/4428390/episodes/feed
Versio Latina (Homeri Odyssea) Liber VI by Homer📚|📚http://www.loyalbooks.com/book/Versio-Latina-Homeri-Odyssea-Liber-4/feed
